id,name,entityType,address,city,province,lat,lng,phone,website,officialWebsiteFound,websiteStatus,fnoviRegistrySource,alboMatchStatus,googlePlaceId,googleBusinessStatus,externalReputationSignal,activityStatus,activityConfidence,sourceUrls,evidenceNotes,recommendedProfileStatus,needsManualReview,internalNotes
dir_3d8a9868dbce7cec,Centro Veterinario Ostia,clinic,"Via Costanzo Casana, 47",Roma / Ostia,RM,41.73938,12.27331,065693742,https://www.centroveterinariostia.eu/,true,live,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,not_checked,,not_checked,not_checked,likely_active,90,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.centroveterinariostia.eu/|https://www.caniincasa.it/veterinari/centro-veterinario-ostia/,"Official website live; public sources match name, Roma/Ostia, address and phone. Directory signal exists but appears old.",published_unclaimed,false,v3_researched; prior_sources_retained; batch1_researched; high potential in Roma target area; no claim/owner verification
dir_9cf81fbe3b10161c,Clinica Veterinaria Portonaccio,clinic,"Via di Portonaccio, 116/118",Roma,RM,41.90033,12.53699,0643530301,https://vetportonaccio.it/,true,live,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,not_checked,,not_checked,not_checked,likely_active,90,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://vetportonaccio.it/|https://www.vetportonaccio.it/a7_contatti.html|https://services.italy724.info/it/clinica-veterinaria-portonaccio-39-06-43530301.html,"Official website live; official contact page and directory sources match name, Roma, address and phone.",published_unclaimed,false,v3_researched; prior_sources_retained; batch1_researched; high potential in Roma target area; no claim/owner verification
dir_7cf26a0f42ea4e38,Il Centro Veterinario,clinic,Via Cassia 1844,Roma,RM,42.01842,12.37700,06 30892295,https://www.ilcentroveterinario.it/,true,live,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,not_checked,,not_checked,,likely_active,92,https://www.ilcentroveterinario.it/|https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,"Sito ufficiale live conferma denominazione, sede in Via Cassia 1844 e telefono. Record promosso; possibile duplicato concettuale presente nel lotto.",published_unclaimed,false,v3_researched; roma_nord_batch; nome corretto e dati confermati da sito ufficiale
dir_168a05a69c3336e5,Ambulatorio Vterinario Associato Dott.bBsini dDtt. rFla,clinic,,Roma,RM,41.97167,12.43531,,,false,not_found,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,not_checked,,not_checked,,uncertain,35,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,Nome OCR fortemente corrotto; ricerca su nome e coordinate Cassia/La Storta senza fonte tracciabile concorde.,needs_review,true,v3_researched; roma_nord_batch; ricerca mirata eseguita; dati insufficienti o non risolti
dir_bef810dc97fb99d4,Ambulatorio Veterinario Dott.fFbrizio aAgenti,clinic,,,,41.88937,12.49996,,,false,not_found,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,not_checked,,not_checked,not_checked,uncertain,35,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,"FNOVI seed conservato come fonte di partenza; nel v3 non sono state catturate fonti indipendenti sufficienti per confermare anagrafica completa, telefono e stato attività.",needs_review,true,v3_researched; source_limited_no_independent_match
dir_faaab3ff3a94f6d2,Ospedale Veterinaro Dr.aAgelo lLndi,clinic,,,,42.07154,12.21752,,,false,not_found,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,not_checked,,not_checked,not_checked,uncertain,35,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,"FNOVI seed conservato come fonte di partenza; nel v3 non sono state catturate fonti indipendenti sufficienti per confermare anagrafica completa, telefono e stato attività.",needs_review,true,v3_researched; source_limited_no_independent_match
dir_c5c8861b92219056,Veterinaria Medaglie d'Oro,clinic,Viale delle Medaglie d'Oro 374,Roma,RM,41.92054,12.44492,,https://www.veterinariamedagliedoro.it/,true,live,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,not_checked,,not_checked,,likely_active,84,https://www.veterinariamedagliedoro.it/|https://www.veterinariamedagliedoro.it/dovesiamo.html|https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,Sito ufficiale live conferma struttura e indirizzo in zona Prati-Balduina. Telefono non recuperato da fonte tracciabile nel lotto.,published_unclaimed,false,v3_researched; roma_nord_batch; nome e indirizzo confermati da sito ufficiale; telefono non pubblicato
dir_1e36951b943397da,Ambulatorio Veterinario Arrighi Colangeli Cristilli,clinic,,,,41.90969,12.46974,,,false,not_found,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,not_checked,,not_checked,not_checked,uncertain,35,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,"FNOVI seed conservato come fonte di partenza; nel v3 non sono state catturate fonti indipendenti sufficienti per confermare anagrafica completa, telefono e stato attività.",needs_review,true,v3_researched; source_limited_no_independent_match
dir_dfc14bcedcfd6ea0,Veterinaria Venere,clinic,,,,41.81700,12.44691,,,false,not_found,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,not_checked,,not_checked,not_checked,uncertain,35,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,"FNOVI seed conservato come fonte di partenza; nel v3 non sono state catturate fonti indipendenti sufficienti per confermare anagrafica completa, telefono e stato attività.",needs_review,true,v3_researched; source_limited_no_independent_match
dir_d2295c8ec07429d6,Centro Per La Tutela E Il Benessere Degli Animali,clinic,,,,41.88549,12.51521,,,false,not_found,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,not_checked,,not_checked,not_checked,uncertain,35,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,"FNOVI seed conservato come fonte di partenza; nel v3 non sono state catturate fonti indipendenti sufficienti per confermare anagrafica completa, telefono e stato attività.",needs_review,true,v3_researched; source_limited_no_independent_match
