cluster_id,winner_id,reason,distance_m,id,entityType,name,clinicName,vetName,address,city,province,phone,website,lat,lng,services,species,specialties,sourceType,sourceUrl,sourceCollectedAt,lastVerifiedAt,profileStatus,verificationStatus,onlineBookingStatus,isPublished,marketingConsent,outreachStatus,internalNotes,rawLabel
dir_6fe83ff7a9791f81,dir_6fe83ff7a9791f81,exact_id,0.0,dir_6fe83ff7a9791f81,clinic,Ambulatorio Veterinario Belvedere,Ambulatorio Veterinario Belvedere,,,,,,,45.68848,11.77200,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Belvedere
dir_a5b49e8b17f6d87c,dir_a5b49e8b17f6d87c,exact_id,0.0,dir_a5b49e8b17f6d87c,clinic,Ambulatorio Veterinario Associato Baietti Armenante,Ambulatorio Veterinario Associato Baietti Armenante,,,,,,,44.48641,11.36734,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Associato Baietti Armenante
dir_6d5346049fd75d52,dir_6d5346049fd75d52,exact_id,0.0,dir_6d5346049fd75d52,clinic,Ambulatorio Veterinario Salus,Ambulatorio Veterinario Salus,,,,,,,44.81581,9.97473,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Salus
dir_15abef1008be6b03,dir_15abef1008be6b03,exact_id,0.0,dir_15abef1008be6b03,clinic,Pievaroli Clinica Veterinaria,Pievaroli Clinica Veterinaria,,,,,,,41.79591,12.45155,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Pievaroli Clinica Veterinaria
dir_a4b22deffe860dcf,dir_a4b22deffe860dcf,exact_id,0.0,dir_a4b22deffe860dcf,clinic,Clinica Veterinaria San Lorenzo,Clinica Veterinaria San Lorenzo,,,,,,,45.66003,9.50387,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Clinica Veterinaria San Lorenzo
dir_b48ad0a5b97d9148,dir_b48ad0a5b97d9148,exact_id,0.0,dir_b48ad0a5b97d9148,clinic,Clinica Veterinaria Campo Marzio,Clinica Veterinaria Campo Marzio,,,,,,,45.64463,13.75736,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Clinica Veterinaria Campo Marzio
dir_345415e959640f53,dir_345415e959640f53,exact_id,0.0,dir_345415e959640f53,clinic,Ambulatorio Marivet,Ambulatorio Marivet,,,,,,,41.05769,17.08367,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Marivet
dir_1a98e39472f34849,dir_1a98e39472f34849,exact_id,0.0,dir_1a98e39472f34849,clinic,Ambulatorio Veterinario monte Alla Rena,Ambulatorio Veterinario monte Alla Rena,,,,,,,43.39132,10.43073,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario monte Alla Rena
dir_39f1cfbb08178956,dir_39f1cfbb08178956,exact_id,0.0,dir_39f1cfbb08178956,clinic,Ambulatorio Veterinario Garibaldi,Ambulatorio Veterinario Garibaldi,,,,,,,45.59813,8.91614,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Garibaldi
dir_e4ed62bfcfd11309,dir_e4ed62bfcfd11309,exact_id,0.0,dir_e4ed62bfcfd11309,clinic,Ars Veterinaria,Ars Veterinaria,,,,,,,44.53920,10.80112,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ars Veterinaria
