"id","name","entityType","address","city","province","lat","lng","phone","website","officialWebsiteFound","websiteStatus","fnoviRegistrySource","alboMatchStatus","googlePlaceId","googleBusinessStatus","externalReputationSignal","activityStatus","activityConfidence","sourceUrls","evidenceNotes","recommendedProfileStatus","needsManualReview","internalNotes"
"dir_dbe350330d8ab7bc","Clinica Veterinaria Gallarate","clinic","Via Ottaviano Custodi, 12","Gallarate","VA","45.67252","8.79721","0331784876","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","likely_active","80","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/clinica-veterinaria-gallarate/|https://www.cylex-italia.it/gallarate/clinica-veterinaria-gallarate-dr--ferre%27-13122741.html","FNOVI seed present. Directory sources match name, Gallarate, address and phone; no official website confidently found.","published_unclaimed","false","batch1_researched; directory-only contact data; do not use for commercial outreach without owner confirmation; batch2_researched; dati essenziali confermati da fonti alternative"
"dir_150e2e6c3f89da21","Ambulatorio Veterinario Cavallon Dr. Stefano","clinic","Via Roma, 14","Albaredo d'Adige","VR","45.31745","11.27260","0456600290","https://www.ambcavallon.eu/","true","live","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","uncertain","likely_active","90","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.ambcavallon.eu/|https://www.ambcavallon.eu/a41_ambulatorio-veterinario-cologna-veneta.html|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-cavallon-dr-stefano/","Official Cavallon site live; row coordinate aligns with Albaredo d Adige branch; directory confirms branch and phone.","published_unclaimed","false","batch1_researched; same operator has at least two branches, keep as separate location; batch2_researched; nome corretto da evidenza batch"
"dir_5bddc7c4d8029668","Ambulatorio Veterinario Cavallon Dr. Stefano","clinic","Via Groppeale, 7/A","Cologna Veneta","VR","45.31200","11.38475","044285280","https://www.ambcavallon.eu/","true","live","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","uncertain","likely_active","90","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.ambcavallon.eu/a41_ambulatorio-veterinario-cologna-veneta.html|https://services.italy724.info/it/dr-stefano-cavallon-veterinario-39-045-6600290.html|https://www.tuovet.it/scheda/ambulatorio-veterinario-cavallon-dr-stefano-2/","Official Cavallon site has Cologna Veneta branch; row coordinate aligns with Cologna Veneta branch; multiple directories match.","published_unclaimed","false","batch1_researched; same operator has at least two branches, keep as separate location; batch2_researched; nome corretto da evidenza batch"
"dir_a826017731dd024e","Ambulatorio Veterinario Flegreo","clinic","Via Luciano, 10","Pozzuoli","NA","40.83099","14.11823","0815260432","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","likely_active","80","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-flegreo/|https://www.tuovet.it/scheda/ambulatorio-veterinario-flegreo/|https://www.veterinari.link/ambulatorio-veterinario-flegreo-pozzuoli-na_4.html","FNOVI seed present. Multiple veterinary directories match name, city, address and phone; no official site identified.","published_unclaimed","false","batch1_researched; directory-only contact data; batch2_researched; dati essenziali confermati da fonti alternative"
"dir_39cb9baf294b5f62","Ambulatorio Veterinario","clinic","","","","42.60935","13.75789","","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","uncertain","35","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","Generic seed label Ambulatorio Veterinario and no reliable web match attempted without city/address; too ambiguous to merge.","needs_review","true","batch1_researched; generic label; requires manual reverse-geocode and source check; batch2_researched"
"dir_33f02797f1cf7e39","Ambulatorio Veterinario Città di Albino Dr. Cattaneo Dr. Milesi Dr. Nava","clinic","Via Marconi, 10/B","Albino","BG","45.75696","9.79216","035773493","https://veterinarialbino.com/","true","live","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","uncertain","likely_active","90","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://veterinarialbino.com/|https://veterinarialbino.com/locations/|https://www.tuovet.it/scheda/ambulatorio-veterinario-cittadi-albino-dr-cattaneo-dr-milesi-dr-nava/","Seed name appears corrupted but official site and directories identify Ambulatorio Veterinario Città di Albino with matching coordinate area, address and phone.","published_unclaimed","false","batch1_researched; corrected display name from official/public sources; batch2_researched; nome corretto da evidenza batch"
"dir_fd3277719395d086","Clinica Veterinaria La Fenice","clinic","Via Brendole, 2/F","Mestre / Venezia","VE","45.49615","12.21922","041914605","https://www.clinicavetlafenice.it/","true","live","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","likely_active","90","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.clinicavetlafenice.it/|https://www.clinicavetlafenice.it/la-nostra-clinica/|https://www.caniincasa.it/veterinari/clinica-veterinaria-la-fenice/|https://www.gruppoanimalia.it/cliniche/clinica-veterinaria-la-fenice-mestre/","Official website live; official/public sources match name, Mestre/Venezia, phone and address; H24/pronto soccorso signal present.","published_unclaimed","false","batch1_researched; high potential; no claim/owner verification; batch2_researched"
"dir_6eb35902507bd492","Ambulatorio Veterinario","clinic","","","","45.80082","9.88451","","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","uncertain","35","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","Generic seed label Ambulatorio Veterinario and no reliable web match without city/address; too ambiguous to merge.","needs_review","true","batch1_researched; generic label; requires manual reverse-geocode and source check; batch2_researched"
"dir_075fc9b2a82b14cb","Centro Veterinario Arcoveggio Srl","clinic","Via di Corticella, 104","Bologna","BO","44.52063","11.34619","051353807","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","likely_active","80","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://firmania.it/bologna/centro-veterinario-arcoveggio-srl-5021782|https://www.misterimprese.it/emilia-romagna/bologna/bologna/veterinaria-ambulatori/1061501.html|https://pianetaanimali.it/585829_veterinario_centro_veterinario_arcoveggio_s_r_l_.htm","Directory sources match name, Bologna, address and phone; no official website confidently identified.","published_unclaimed","false","batch1_researched; directory-only contact data; batch2_researched; dati essenziali confermati da fonti alternative"
"dir_262a4eac72ef5e66","Studio Veterinario Sant'Angelo Lodigiano","clinic","Viale Zara, 26/A","Sant'Angelo Lodigiano","LO","45.24475","9.40576","0371934466","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","likely_active","80","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/studio-veterinario-santangelo-lodigiano/|https://www.tuovet.it/scheda/studio-veterinario-santangelo-lodigiano/","Directory sources match name, city, address and phone; no official website confidently identified.","published_unclaimed","false","batch1_researched; directory-only contact data; batch2_researched; dati essenziali confermati da fonti alternative"
"dir_7e7f38acf064cdd5","Ambulatorio Veterinario La Sala","clinic","Via Casilina, Km 64,400","Anagni","FR","41.72524","13.16242","0775772192","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","likely_active","80","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-la-sala/|https://firmania.it/anagni/ambulatorio-veterinario-la-sala-3263592|https://www.tuttiaffari.com/ambulatorio-veterinario-la-sala_1o-0775-772192","Directory sources match name, Anagni, address and phone; no official website confidently identified.","published_unclaimed","false","batch1_researched; directory-only contact data; batch2_researched; dati essenziali confermati da fonti alternative"
"dir_9181532022eb4097","Ambulatorio San Gemignano","clinic","Via Ghiacciaia, 3A","Monselice","PD","45.23744","11.75062","042973274","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","likely_active","80","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-san-gemignano/|https://www.tuovet.it/scheda/ambulatorio-san-gemignano/","Directory sources match name, Monselice, address and phone; no official website confidently identified.","published_unclaimed","false","batch1_researched; directory-only contact data; batch2_researched; dati essenziali confermati da fonti alternative"
"dir_ae642ac2e1dbdd8a","Ambulatorio Veterinario Goriziano Dr. Tel Giovanni","clinic","Via Giuseppe Tominz, 26","Gorizia","GO","45.93919","13.61895","0481531701","","false","not_found","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2","not_checked","","not_checked","not_checked","presumed_active","70","https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2|https://www.caniincasa.it/veterinari/ambulatorio-veterinario-goriziano-dr-tel-giovanni/|https://www.tuovet.it/scheda/ambulatorio-veterinario-goriziano-dr-tel-giovanni/|https://aziende.virgilio.it/veterinaria/gorizia-go/ambulatorio-veterinario-goriziano","Name in seed appears OCR-corrupted; directories match Dr. Tel Giovanni, Gorizia, address and phone.","needs_review","true","batch1_researched; corrected display name from public sources; directory-only; batch2_researched"
