id,entityType,name,clinicName,vetName,address,city,province,phone,website,lat,lng,services,species,specialties,sourceType,sourceUrl,sourceCollectedAt,lastVerifiedAt,profileStatus,verificationStatus,onlineBookingStatus,isPublished,marketingConsent,outreachStatus,internalNotes,rawLabel
dir_dbe350330d8ab7bc,clinic,Clinica Veterinaria Gallarate,Clinica Veterinaria Gallarate,,,,,,,45.67252,8.79721,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Clinica Veterinaria Gallarate
dir_150e2e6c3f89da21,clinic,Ambulatorio Veterinario Cavallon Dr.sSefano,Ambulatorio Veterinario Cavallon Dr.sSefano,,,,,,,45.31745,11.27260,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Cavallon Dr.sSefano
dir_5bddc7c4d8029668,clinic,Ambulatorio Veterinario Cavallon Dr.sSefano,Ambulatorio Veterinario Cavallon Dr.sSefano,,,,,,,45.31200,11.38475,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Cavallon Dr.sSefano
dir_a826017731dd024e,clinic,Ambulatorio Veterinario Flegreo,Ambulatorio Veterinario Flegreo,,,,,,,40.83099,14.11823,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Flegreo
dir_39cb9baf294b5f62,clinic,Ambulatorio Veterinario,Ambulatorio Veterinario,,,,,,,42.60935,13.75789,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario
dir_33f02797f1cf7e39,clinic,Ambulatorio Veterinario Citta'dD aAbino dD. aCtaneo drD mlMsi dr.DnaaN,Ambulatorio Veterinario Citta'dD aAbino dD. aCtaneo drD mlMsi dr.DnaaN,,,,,,,45.75696,9.79216,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario Citta'dD aAbino dD. aCtaneo drD mlMsi dr.DnaaN
dir_fd3277719395d086,clinic,Clinica Veterinaria La Fenice,Clinica Veterinaria La Fenice,,,,,,,45.49615,12.21922,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Clinica Veterinaria La Fenice
dir_6eb35902507bd492,clinic,Ambulatorio Veterinario,Ambulatorio Veterinario,,,,,,,45.80082,9.88451,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Ambulatorio Veterinario
dir_075fc9b2a82b14cb,clinic,Centro Veterinario Arcoveggio Srl,Centro Veterinario Arcoveggio Srl,,,,,,,44.52063,11.34619,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Centro Veterinario Arcoveggio Srl
dir_262a4eac72ef5e66,clinic,Studio Veterinario Sant'Angelo Lodigiano,Studio Veterinario Sant'Angelo Lodigiano,,,,,,,45.24475,9.40576,,,,anagrafe_strutture_poi,https://www.fnovi.it/cantoni/StruttureVeterinarie.ov2,2026-07-09,,needs_review,not_verified,disabled,false,false,not_contacted,,Studio Veterinario Sant'Angelo Lodigiano
